id,manager_id,transaction_date,price
1,1,2023-42-01/01/23 22:42:34,650.35
2,1,2023-58-01/05/23 22:58:02,5217.80
3,1,2023-44-01/08/23 22:44:25,4540.90
4,1,2023-57-01/12/23 22:57:53,4308.85
5,1,2023-56-01/15/23 22:56:38,3687.90
6,1,2023-55-01/19/23 22:55:40,5135.05
7,1,2023-55-01/22/23 22:55:02,4630.50
8,1,2023-41-01/26/23 22:41:26,4723.35
9,1,2023-55-01/29/23 22:55:14,4153.00
10,1,2023-56-02/02/23 22:56:46,4875.00
11,1,2023-58-02/05/23 22:58:57,5035.70
12,1,2023-48-02/09/23 22:48:01,4303.05
13,1,2023-48-02/12/23 22:48:15,5125.60
14,1,2023-45-02/16/23 22:45:40,5335.65
15,1,2023-48-02/19/23 22:48:58,4365.40
16,1,2023-52-02/23/23 22:52:28,5578.50
17,1,2023-57-02/26/23 22:57:17,3812.80
18,1,2023-45-03/02/23 22:45:02,4813.10
19,1,2023-41-03/05/23 22:41:43,4955.55
20,1,2023-44-03/09/23 22:44:41,4606.55
21,1,2023-38-03/12/23 22:38:27,4806.30
22,1,2023-35-03/16/23 22:35:58,5224.25
23,1,2023-58-03/19/23 22:58:14,4578.80
24,1,2023-38-03/23/23 22:38:57,5395.90
25,1,2023-59-03/26/23 22:59:31,5193.75
26,1,2023-59-03/30/23 22:59:05,4605.15
27,1,2023-51-04/02/23 22:51:03,4893.45
28,1,2023-55-04/06/23 22:55:33,4753.15
29,1,2023-38-04/09/23 22:38:45,4516.45
30,1,2023-48-04/13/23 22:48:48,4591.55
31,1,2023-42-04/16/23 22:42:29,4822.70
32,1,2023-35-04/20/23 22:35:11,5455.60
33,1,2023-47-04/23/23 22:47:16,3902.00
34,1,2023-50-04/27/23 22:50:02,4858.50
35,1,2023-43-04/30/23 22:43:32,4383.70
36,1,2023-53-05/04/23 22:53:20,4932.90
37,1,2023-41-05/07/23 22:41:42,4294.55
38,1,2023-51-05/11/23 22:51:04,4728.25
39,1,2023-41-05/14/23 22:41:25,4664.00
40,1,2023-49-05/18/23 22:49:39,5020.40
41,1,2023-35-05/21/23 22:35:32,4635.20
42,1,2023-48-05/25/23 22:48:48,5175.05
43,1,2023-40-05/28/23 22:40:11,3692.80
44,1,2023-55-06/01/23 22:55:19,4779.95
45,1,2023-37-06/04/23 22:37:22,3716.95
46,1,2023-40-06/08/23 22:40:37,4673.60
47,1,2023-36-06/11/23 22:36:04,3931.60
48,1,2023-40-06/15/23 22:40:35,4880.35
49,1,2023-50-06/18/23 22:50:43,4084.65
50,1,2023-49-06/22/23 22:49:38,5346.15
